Species,n,PPT_optimum_tc,PPT_optimum_ch,MAT_optimum_tc,MAT_optimum_ch
Simira tinctoria,17,1855.047059,2052.588235,21.38284314,205.3529412
Siparuna aspera,451,1856.170732,1941.454545,18.20764967,176.9068736
Siparuna bifida,155,2209.733548,2082.122581,24.62924731,243
Siparuna cuspidata,195,2895.487692,3090.907692,24.95700855,238.5897436
Siparuna decipiens,325,2743.245538,2945.941538,25.34314103,243.7538462
Siparuna echinata,201,1537.835821,1774.835821,13.61171227,131.9402985
Siparuna guianensis,469,2327.384009,2361.319829,25.43525231,244.8720682
Siparuna thecaphora,553,2760.673779,2847.907609,23.68714587,228.5199275
Siparuna tomentosa,178,1440.280899,1600.707865,19.20854401,180.6460674
Siphoneugena densiflora,12,2028.816667,2155,18.46388889,174.1666667
Siphoneugena occidentalis,56,1158.233929,1203.75,20.52388393,188.8571429
Sisyrinchium micranthum,108,1419.849074,1472.37963,17.42064043,168.8703704
Sloanea brachytepala,23,2736.5,2773.652174,25.43278986,242.9565217
Sloanea brevipes,30,2427.786667,2537.133333,24.85416667,237.4333333
Sloanea eichleri,107,2255.305607,2372.317757,24.98699377,237.5140187
Sloanea fendleriana,18,1360.844444,1114.666667,20.91712963,205.3333333
Sloanea floribunda,109,2944.156881,3127.220183,25.68184251,241.9266055
Sloanea fragrans,131,2750.573282,2807.251908,24.31364504,238.0763359
Sloanea grandiflora,109,2759.613761,2934.073394,24.69353976,239.5045872
Sloanea granulosa,10,2877.74,3059.9,25.20666667,245.1
Sloanea guianensis,318,2612.742453,2601.845426,24.82729298,240.8706625
Sloanea latifolia,51,2704.068627,2543.431373,25.67883987,248.0588235
Sloanea laurifolia,49,2720.757143,2853.44898,25.29345238,242.9387755
Sloanea laxiflora,34,2630.214706,2818.823529,25.04497549,241.3823529
Sloanea macrophylla,22,2764.518182,2918.227273,25.55189394,247.4090909
Sloanea meianthera,19,2895.415789,2978,24.42061404,235.8421053
Sloanea multiflora,40,3249.71,3552.75,24.38864583,235.05
Sloanea obtusifolia,38,2420.939474,2439.763158,24.64495614,242.0789474
Sloanea parvifructa,24,2726.8875,2916.166667,25.05416667,232.8333333
Sloanea pubescens,108,2526.347222,2537.240741,23.94749228,230.5648148
Sloanea robusta,44,2906.040909,3156.204545,24.65795455,240.6363636
Sloanea rufa,93,2321.207527,2386.731183,23.54493728,228.2473118
Sloanea sinemariensis,29,2623.313793,2578.206897,24.73606322,240.5517241
Sloanea terniflora,62,2490.516129,2493.741935,25.6844086,246.5483871
Sloanea tuerckheimii,121,2575.577686,2489.563025,24.50936639,235.8907563
Solanum aphyodendron,187,1332.428342,1404.502674,17.19988859,166.657754
Solanum clandestinum,38,1014.889474,1592.526316,14.59671053,123.3947368
Solanum cutervanum,46,1120.704348,1247.043478,13.10769928,122.3043478
Solanum hypaleurotrichum,94,1410.895745,1512.202128,11.96125887,116.7340426
Solanum inelegans,36,1031.880556,1257.972222,14.44444444,131.6111111
Solanum lepidotum,325,2577.246154,2654.707692,22.0204359,216.5353846
Solanum maturecalvans,247,878.4360324,1103.975709,14.17793522,126.1417004
Solanum nudum,380,2483.241953,2541.47619,21.63037599,212.3597884
Solanum nutans,245,1177.67102,1360.35102,15.80176871,144.1510204
Solanum ochrophyllum,53,1001.537736,1294.018868,12.97311321,120.3207547
Solanum sessile,375,2135.641333,2151.061333,22.42038889,215.768
Sorocea guilleminiana,117,1940.842735,1906.555556,23.62920228,229.5641026
Sorocea jaramilloi,24,2329.216667,2767.375,22.54635417,225.875
Sorocea pubivena,298,2867.662416,2980.711409,25.15838926,241.6375839
Sorocea steinbachii,260,2719.586154,2851.561538,24.70508013,240.0423077
Sorocea trophoides,138,1900.689855,1878.23913,20.80015097,202.3695652
Souroubea guianensis,196,2914.321429,3133.806122,25.41860119,239.1785714
Spirotheca awadendron,15,1854.74,1846.866667,18.44527778,182.7333333
Spirotheca rosea,109,2051.080734,2126.62963,18.18723242,172.962963
Spondias mombin,91,2635.696703,2918.417582,24.86987179,243.978022
Stephanopodium angulatum,19,1956.794737,2123.526316,19.57368421,192.4736842
Stephanopodium peruvianum,45,2632.515556,2881.022222,25.17481481,241.2888889
Sterculia apeibophylla,92,2920.638043,2979.815217,25.01630435,242
Sterculia apetala,256,1934.676563,1811.546875,26.47135417,256.8710938
Sterculia colombiana,137,2948.435036,3149.846715,24.78454988,242.0583942
Sterculia frondosa,94,2860.65,3100.521277,25.19463652,242.7553191
Sterculia peruviana,39,2757.789744,2887.179487,24.93215812,241.5128205
